q35_%dr,q35_%dd,q35_%dp,q35_%dc,q35_%dtotal,Col006
19149,House,5,By Petition,Nielsen,452
19149,House,None,By Petition,Brodersen,None
19151,House,4,Democratic,Spencer,1033
19151,House,4,Republican,Latham,1754
19153,House,3,Democratic,Boswell,78132
19153,House,3,Republican,Lamberti,64863
19153,House,3,Socialist Workers,Meyers,2023
19155,House,5,Democratic,Schulte,10880
19155,House,5,Republican,King,12289
19155,House,5,By Petition,Nielsen,629
19155,House,5,By Petition,Brodersen,396
19157,House,3,Democratic,Boswell,4015
19157,House,3,Republican,Lamberti,3143
19157,House,3,Socialist Workers,Meyers,159
19159,House,5,Democratic,Schulte,877
19159,House,5,Republican,King,1020
19159,House,5,By Petition,Nielsen,59
19159,House,5,By Petition,Brodersen,29
19161,House,5,Democratic,Schulte,1079
19161,House,5,Republican,King,2298
19161,House,5,By Petition,Nielsen,158
19161,House,5,By Petition,Brodersen,27
19163,House,1,Democratic,Braley,29465
19163,House,10,Republican,Whalen,25142
19163,House,1,Other,Hill,664
19163,House,1,By Petition,Schoeman,253
19165,House,5,Democratic,Schulte,1624
19165,House,5,Republican,King,2314
19165,House,5,By Petition,Nielsen,111
19165,House,5,By Petition,Brodersen,66
19167,House,5,Democratic,Schulte,1198
19167,House,5,Republican,King,9648
19167,House,5,By Petition,Nielsen,972
19167,House,5,By Petition,Brodersen,36
19169,House,4,Democratic,Spencer,15331
19169,House,4,Republican,Latham,14298
19171,House,3,Democratic,Boswell,3329
19171,House,3,Democratic,Lamberti,3147
19171,House,3,Socialist Workers,Meyers,172
19173,House,5,Democratic,Schulte,981
19173,House,5,Republican,king,1179
19173,House,5,By Petition,Nielsen,107
19173,House,5,By Petition,Brodersen,30
19175,House,5,Democratic,Schulte,1899
19175,House,5,Republican,king,1732
19175,House,5,By Petition,Nielsen,160
19175,House,5,By Petition,Brodersen,37
19177,House,2,Democratic,Loebsack,956
19177,House,2,Republican,Leach,1668
19179,House,2,Democratic,Loebsack,6137
19179,House,2,Republican,Leach,4784
19181,House,4,Democratic,Spencer,7039
19181,House,4,Right to Life,Latham,9772
19183,House,2,Democratic,Loebsack,2933
19183,House,2,Republican,Leach,4296
19185,House,2,Democratic,Loebsack,752
19185,House,2,Republican,Leach,1317
19187,House,4,Democratic,Spencer,5219
19187,House,4,Republican,Latham,7573
27135,Senate,None,Centrist,Powers,13
27135,Senate,None,Democratic-Farmer-Labor,Klobuchar,3140
27135,Senate,None,Green,Cavlan,25
27135,Senate,None,Independence,Fitzgerald,204
27135,Senate,None,Republican,Kennedy,2967
27135,Senate,None,Write-in/Scattering,Write In,5
27135,Senate,None,Write-in/Scattering,Uldrich,0
27135,Senate,None,Write-in/Scattering,Aldrich,0
27135,Senate,None,Write-in/Scattering,Idusogie,0
27135,Senate,None,Write-in/Scattering,Williamson,0
27135,House,7,Centrist,Lucier,54
27135,House,7,Democratic-Farmer-Labor,Peterson,4732
27135,House,7,Republican,Barrett,1554
27135,House,7,Write-in/Scattering,Write In,3
27137,Senate,None,Christian Freedom,Powers,222
27137,Senate,None,Democratic-Farmer-Labor,Klobuchar,63750
27137,Senate,None,Green,Cavlan,475
27137,Senate,None,Independence,Fitzgerald,2177
27137,Senate,None,Republican,Kennedy,23281
27137,Senate,None,Write-in/Scattering,Write In,44
27137,Senate,None,Write-in/Scattering,u,0
27137,Senate,None,Write-in/Scattering,Aldrich,0
27137,Senate,None,Write-in/Scattering,Idusogie,0
27137,Senate,None,Write-in/Scattering,Williamson,0
27137,House,8,Democratic-Nonpartisan League,Oberstar,66026
27137,House,8,Republican,Grams,21291
27137,House,8,Other,Welty,2352
27137,House,8,Write-in/Scattering,Write In,58
27139,Senate,None,Centrist,Powers,96
27139,Senate,None,Democratic-Farmer-Labor,Klobuchar,23135
27139,Senate,None,Green,Cavlan,155
27139,Senate,None,Independence,Fitzgerald,1488
27139,Senate,None,Republican,Kennedy,22023
27139,Senate,None,Write-in/Scattering,Write In,20
27139,Senate,None,Write-in/Scattering,Uldrich,0
27139,Senate,None,Write-in/Scattering,Aldrich,0
27139,Senate,None,Write-in/Scattering,Idusogie,0
27139,Senate,None,Write-in/Scattering,Williamson,0
27139,House,2,Democratic-Farmer-Labor,Rowley,16582
27139,House,2,Independence,Douglas Williams,1757
27139,House,2,Republican,Kline,28074
27139,House,2,Write-in/Scattering,Write In,26
27141,Senate,None,Centrist,Powers,74
27141,Senate,None,Democratic-Farmer-Labor,Klobuchar,15049
27141,Senate,None,Green,Cavlan,110
27141,Senate,None,Independence,Fitzgerald,940
27141,Senate,None,Republican,Kennedy,15737
27141,Senate,None,Write-in/Scattering,Write In,10
27141,Senate,None,Write-in/Scattering,Uldrich,0
27141,Senate,None,Write-in/Scattering,Aldrich,0
27141,Senate,None,Write-in/Scattering,Idusogie,0
27141,Senate,None,Write-in/Scattering,Williamson,0
27141,House,6,Democratic-Farmer-Labor,Wetterling,12269
27141,House,6,Independence,Binkowski,23932
27141,House,6,Republican,Bachman,17104
27141,House,6,Write-in/Scattering,Write In,25
27143,Senate,None,Centrist,Powers,28
27143,Senate,None,Democratic-Farmer-Labor,Klobuchar,3199
27143,Senate,None,Green,Cavlan,14
27143,Senate,None,Independence,Fitzgerald,268
27143,Senate,None,Republican,ke,2835
27143,Senate,None,Write-in/Scattering,Write In,0
27143,Senate,None,Write-in/Scattering,Uldrich,0
27143,Senate,None,Write-in/Scattering,Aldrich,0
27143,Senate,None,Write-in/Scattering,Idusogie,0
27143,Senate,None,Write-in/Scattering,Williamson,0
27143,House,7,Centrist,Lucier,134
27143,House,7,Democratic-Farmer-Labor,Peterson,3550
27143,House,7,Republican,Barrett,2430
27143,House,7,Write-in/Scattering,Write In,0
27145,Senate,None,Christian Freedom,Powers,122
27145,Senate,None,Democratic-Farmer-Labor,Klobuchar,28630
27145,Senate,None,Green,Cavlan,269
27145,Senate,None,Independence,Fitzgerald,1847
27145,Senate,None,Republican,ke,26358
27145,Senate,None,Write-in/Scattering,Write In,21
27145,Senate,None,Write-in/Scattering,Uldrich,0
27145,Senate,None,Write-in/Scattering,Aldrich,1
27145,Senate,None,Write-in/Scattering,Idusogie,1
27145,Senate,None,Write-in/Scattering,Williamson,0
27145,House,6,Democratic-Farmer-Labor,Wetterling,21650
27145,House,6,Republican,Binkowski,4191
27145,House,6,Republican,Bachman,25596
27145,House,6,Write-in/Scattering,Write In,51
27145,House,7,Centrist,Lucier,93
27145,House,7,Democratic-Farmer-Labor,Peterson,3885
27145,House,7,Republican,Barrett,1576
27145,House,7,Write-in/Scattering,Write-In,4
27147,Senate,None,Centrist,Powers,98
27147,Senate,None,Democratic-Farmer-Labor,Klobuchar,8707
27147,Senate,None,Green,Cavlan,54
27147,Senate,None,Independence,Fitzgerald,543
27147,Senate,None,Republican,Kennedy,6434
27147,Senate,None,Write-in/Scattering,Write In,9
27147,Senate,None,Write-in/Scattering,Uldrich,0
27147,Senate,None,Write-in/Scattering,Aldrich,0
27147,Senate,None,Write-in/Scattering,Idusogie,0
27147,Senate,None,Write-in/Scattering,Williamson,0
27147,House,1,Centrist,Walz,7006
27147,House,1,Republican,Gutknecht,8166
27147,House,1,Write-in/Scattering,Write In,26
27147,House,1,Write-in/Scattering,Stephan Williams,0
27149,Senate,None,Centrist,Powers,8
27149,Senate,None,Democratic-Farmer-Labor,Klobuchar,2588
27149,Senate,None,Green,Cavlan,31
27149,Senate,None,Independence,Fitzgerald,213
27149,Senate,None,Republican,Kennedy,1936
27149,Senate,None,Write-in/Scattering,Write In,4
27149,Senate,None,Write-in/Scattering,Uldrich,0
27149,Senate,None,Write-in/Scattering,Aldrich,0
27149,Senate,None,Write-in/Scattering,Idusogie,0
27149,Senate,None,Write-in/Scattering,Williamson,0
27149,House,7,Constitution,Lucier,50
27149,House,7,Democratic-Farmer-Labor,Peterson,3443
27149,House,7,Republican,Barrett,1208
27149,House,7,Write-in/Scattering,Write In,9
27151,Senate,None,Centrist,Powers,16
27151,Senate,None,Democratic-Farmer-Labor,Klobuchar,2864
27151,Senate,None,Green,Cavlan,19
27151,Senate,None,Independence,Fitzgerald,141
27151,Senate,None,Republican,Kennedy,1661
27151,Senate,None,Write-in/Scattering,Write In,1
27151,Senate,None,Write-in/Scattering,Uldrich,0
27151,Senate,None,Write-in/Scattering,Aldrich,0
27151,Senate,None,Write-in/Scattering,Idusogie,0
27151,Senate,None,Write-in/Scattering,Williamson,0
27151,House,7,Centrist,Lucier,49
27151,Senate,7,Democratic-Farmer-Labor,Peterson,3517
27151,House,7,Republican,Barrett,1093
27151,House,7,Write-in/Scattering,Write In,6
27153,Senate,None,Centrist,Powers,33
27153,Senate,None,Democratic-Farmer-Labor,Klobuchar,5230
27153,Senate,None,Green,Cavlan,40
27153,Senate,None,Independence,Fitzgerald,400
27153,Senate,None,Republican,Kennedy,4494
27153,Senate,None,Write-in/Scattering,Write In,2
27153,Senate,None,Write-in/Scattering,Uldrich,0
27153,Senate,None,Write-in/Scattering,Aldrich,0
27153,Senate,None,Write-in/Scattering,Idusogie,0
27153,Senate,None,Write-in/Scattering,Williamson,0
27153,Senate,7,Centrist,Lucier,185
27153,Senate,7,Democratic-Farmer-Labor,Peterson,6640
27153,Senate,7,Republican,Barrett,3233
27153,Senate,7,Write-in/Scattering,Write In,6
27155,Senate,None,Centrist,Powers,4
27155,Senate,None,Democratic-Farmer-Labor,Klobuchar,1052
27155,Senate,None,Green,Cavlan,3
27155,Senate,None,Independence,Fitzgerald,51
27155,Senate,None,Republican,Kennedy,770
27155,Senate,None,Write-in/Scattering,Write In,1
27155,Senate,None,Write-in/Scattering,Uldrich,0
27155,Senate,None,Write-in/Scattering,Aldrich,0
27155,Senate,None,Write-in/Scattering,Idusogie,0
27155,Senate,None,Write-in/Scattering,Williamson,0
27155,House,7,Centrist,Lucier,18
27155,House,7,Democratic-Farmer-Labor,Peterson,1425
27155,House,7,Republican,Barrett,424
27155,Senate,7,Write-in/Scattering,Write In,1
27157,Senate,None,Constitution,Powers,21
27157,Senate,None,Democratic-Farmer-Labor,Klobuchar,5204
27157,Senate,None,Green,Cavlan,39
27157,Senate,None,Independence,Fitzgerald,349
27157,Senate,None,Republican,ke,3787
27157,Senate,None,Write-in/Scattering,Write In,2
27157,Senate,None,Write-in/Scattering,Uldrich,0
27157,Senate,None,Write-in/Scattering,Aldrich,0
27157,Senate,None,Write-in/Scattering,Idusogie,0
27157,Senate,None,Write-in/Scattering,Williamson,0
27157,House,1,Democratic-Farmer-Labor,Walz,4749
27157,House,1,Republican,Gutknecht,4626
27157,House,1,Write-in/Scattering,Write In,13
27157,House,1,Write-in/Scattering,Stephan Williams,0
27159,Senate,None,Constitution,Powers,19
27159,Senate,None,Democratic-Farmer-Labor,Klobuchar,2746
27159,Senate,None,Green,Cavlan,22
27159,Senate,None,Independence,Fitzgerald,177
27159,Senate,None,Republican,ke,2890
27159,Senate,None,Write-in/Scattering,Write In,2
27159,Senate,None,Write-in/Scattering,Uldrich,0
27159,Senate,None,Working Families,Aldrich,0
27159,Senate,None,Write-in/Scattering,Idusogie,0
27159,Senate,None,Write-in/Scattering,Williamson,0
27159,House,8,Democratic-Farmer-Labor,Oberstar,2888
27159,House,8,Republican,Grams,2863
27159,House,8,Other,Welty,65
27159,House,8,Write-in/Scattering,Write In,2
27161,Senate,None,Centrist,Powers,25
27161,Senate,None,Democratic-Farmer-Labor,kl,4307
27161,Senate,None,Green,Cavlan,35
27161,Senate,None,Independence,Fitzgerald,372
27161,Senate,None,Republican,Kennedy,3371
27161,Senate,None,Write-in/Scattering,Write In,2
27161,Senate,None,Write-in/Scattering,Uldrich,0
27161,Senate,None,Write-in/Scattering,Aldrich,0
27161,Senate,None,Write-in/Scattering,Idusogie,0
27161,Senate,None,Write-in/Scattering,Williamson,0
27161,House,1,Democratic-Farmer-Labor,Walz,3853
27161,House,1,Republican,Gutknecht,4232
27161,House,1,Write-in/Scattering,Write In,14
27161,House,1,Write-in/Scattering,Stephan Williams,0
27163,Senate,None,Constitution,Powers,196
27163,Senate,None,Democratic-Farmer-Labor,Klobuchar,57563
27163,Senate,None,Green,Cavlan,344
27163,Senate,None,Independence,Fitzgerald,3298
27163,Senate,None,Republican,Kennedy,42910
27163,Senate,None,Write-in/Scattering,Write In,35
27163,Senate,None,Write-in/Scattering,Uldrich,0
27163,Senate,None,Write-in/Scattering,Aldrich,0
27163,Senate,None,Write-in/Scattering,Idusogie,0
27163,Senate,None,Write-in/Scattering,Williamson,0
27163,House,2,Democratic-Farmer-Labor,Rowley,6670
27163,House,2,Independence,Douglas Williams,610
27163,House,2,Republican,Kline,7812
27163,Senate,2,Write-in/Scattering,Write In,10
27163,Senate,4,Democratic-Farmer-Labor,McCollum,12529
27163,House,4,Republican,Sium,7129
27163,House,4,Write-in/Scattering,Write In,31
27163,House,4,Write-in/Scattering,Fiske,0
27163,House,6,Democratic,Wetterling,31553
27163,House,6,Independence,Binkowski,5247
27163,House,6,Republican,Bachman,21649
27163,House,6,Write-in/Scattering,Write In,53
27165,Senate,None,Constitution,Powers,10
27165,Senate,None,Democratic-Farmer-Labor,Klobuchar,2495
27165,Senate,None,Green,Cavlan,16
27165,Senate,None,Independence,Fitzgerald,172
27165,Senate,None,Republican,Kennedy,1878
27165,Senate,None,Write-in/Scattering,Write In,1
27165,Senate,None,Write-in/Scattering,Uldrich,0
27165,Senate,None,Write-in/Scattering,Aldrich,0
27165,Senate,None,Write-in/Scattering,Idusogie,0
27165,Senate,None,Write-in/Scattering,Williamson,0
27165,House,1,Democratic-Farmer-Labor,Walz,2331
27165,Senate,1,Republican,Gutknecht,2214
27165,House,1,Write-in/Scattering,Write In,5
27165,House,1,Write-in/Scattering,Stephan Williams,0
27167,Senate,None,Constitution,Powers,9
27167,Senate,None,Democratic-Farmer-Labor,Klobuchar,1407
27167,Senate,None,Green,Cavlan,4
27167,Senate,None,Independence,Fitzgerald,149
27167,Senate,None,Republican,ke,1238
27167,Senate,None,Write-in/Scattering,Write In,0
27167,Senate,None,Write-in/Scattering,Uldrich,0
27167,Senate,None,Write-in/Scattering,Aldrich,0
27167,Senate,None,Write-in/Scattering,Idusogie,0
27167,Senate,None,Write-in/Scattering,Williamson,0
27167,House,7,Constitution,Lucier,24
27167,House,7,Democratic-Farmer-Labor,Peterson,2081
27167,House,7,Republican,Barrett,696
27167,House,7,Write-in/Scattering,Write In,1
27169,Senate,None,Centrist,Powers,79
27169,Senate,None,Democratic-Farmer-Labor,Klobuchar,11183
27169,Senate,None,Green,Cavlan,145
27169,Senate,None,Independence,Fitzgerald,768
27169,Senate,None,Republican,Kennedy,7493
27169,Senate,None,Write-in/Scattering,Write In,16
27169,Senate,None,Write-in/Scattering,Uldrich,0
27169,Senate,None,Write-in/Scattering,Aldrich,0
27169,Senate,None,Write-in/Scattering,Idusogie,0
27169,Senate,None,Write-in/Scattering,Williamson,0
27169,House,1,Democratic-Farmer-Labor,Walz,11458
27169,House,1,Republican,Gutknecht,8194
27169,House,1,Write-in/Scattering,Write In,33
27169,House,1,Write-in/Scattering,Stephan Williams,0
27171,Senate,None,Constitution,Powers,155
27171,Senate,None,Democratic-Farmer-Labor,Klobuchar,22162
27171,Senate,None,Green,Cavlan,146
27171,Senate,None,Independence,Fitzgerald,1480
27171,Senate,None,Republican,Kennedy,23518
27171,Senate,None,Write-in/Scattering,Write In,17
27171,Senate,None,Write-in/Scattering,Uldrich,0
27171,Senate,None,Write-in/Scattering,Aldrich,0
27171,Senate,None,Write-in/Scattering,Idusogie,0
27171,Senate,None,Write-in/Scattering,Williamson,0
27171,House,6,Democratic-Farmer-Labor,Wetterling,18059
27171,House,6,Independence,Binkowski,3500
27171,House,6,Republican,Bachman,25664
27171,House,6,Write-in/Scattering,Write In,34
27173,Senate,None,Christian Freedom,Porter,19
27173,Senate,None,Democratic-Farmer-Labor,Klobuchar,2795
27173,Senate,None,Green,Cavlan,19
27173,Senate,None,Independence,Fitzgerald,148
27173,Senate,None,Republican,Kennedy,1868
27173,Senate,None,Write-in/Scattering,Write In,1
27173,Senate,None,Write-in/Scattering,Uldrich,0
27173,Senate,None,Write-in/Scattering,Aldrich,0
27173,Senate,None,Write-in/Scattering,Idusogie,0
27173,Senate,None,Write-in/Scattering,Williamson,0
27173,House,7,Centrist,Lucier,61
27173,House,7,Democratic-Farmer-Labor,Peterson,3429
27173,House,7,Republican,Barrett,1302
27173,Senate,7,Write-in/Scattering,Write In,1
29001,Senate,None,Republican,Jim Talent,4297
29001,Senate,None,Democratic,Claire McCaskill,3651
29001,Senate,None,Libertarian,Frank Gilmour,128
29001,Senate,None,Progressive Party of Missouri,Lydia Lewis,68
29001,Senate,None,Write-in/Scattering,Don Barrett,0
29001,,None,Write-in/Scattering,Arthur W. Shortland,None
29001,House,9,Republican,Kenny C. Hulshof,4880
29001,House,9,Democratic,Duane Burghard,2968
29001,House,9,Libertarian,Steven R. Hedrick,106
29001,House,9,Progressive Party of Missouri,Bill Hastings,80
29003,Senate,None,Republican,Jim Talent,3556
29003,Senate,None,Democratic,Claire McCaskill,2915
29003,Senate,None,Libertarian,Frank Gilmour,147
29003,Senate,None,Progressive Party of Missouri,Lydia Lewis,67
29003,Senate,None,Write-in/Scattering,Don Barrett,0
29003,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29003,House,6,Republican,Sam Graves,4550
29003,House,6,Democratic,Sara Jo Shettles,1924
29003,House,6,Libertarian,Erik Buck,106
29003,House,6,Progressive Party of Missouri,Shirley A. Yurkonis,75
29005,Senate,None,Republican,Jim Talent,1479
29005,Senate,None,Democratic,Claire McCaskill,969
29005,Senate,None,Libertarian,Frank Gilmour,43
29005,Senate,None,Progressive Party of Missouri,Lydia Lewis,27
29005,Senate,None,Write-in/Scattering,Don Barrett,0
29005,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29005,House,6,Republican,Sam Graves,1912
29005,House,6,Democratic,Sara Jo Shettles,588
29005,House,6,Libertarian,Erik Buck,35
29005,House,6,Progressive Party of Missouri,Shirley A. Yurkonis,8
29007,Senate,None,Republican,Jim Talent,4362
29007,Senate,None,Democratic,Claire McCaskill,3695
29007,Senate,None,Libertarian,Frank Gilmour,199
29007,Senate,None,Progressive Party of Missouri,Lydia Lewis,94
29007,Senate,None,Write-in/Scattering,Don Barrett,0
29007,Senate,None,Progressive Party of Missouri,Arthur W. Shortland,0
29007,House,9,Republican,Kenny Hulshof,5413
29007,House,9,Democratic,Duane Burghard,2717
29007,House,9,Libertarian,Steven R. Hedrick,125
29007,House,9,Progressive Party of Missouri,Bill Hastings,57
29009,Senate,None,Republican,Jim Talent,6510
29009,Senate,None,Democratic,Claire McCaskill,3903
29009,Senate,None,Libertarian,Frank Gilmour,425
29009,Senate,None,Progressive Party of Missouri,Lydia Lewis,159
29009,Senate,None,Write-in/Scattering,Don Barrett,0
29009,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29009,House,7,Republican,Roy Blunt,7527
29009,House,7,Democratic,Jack Truman,3090
29009,House,7,Libertarian,Kevin Craig,344
29009,House,7,Write-in/Scattering,Glenn Miller,0
29011,Senate,None,Republican,Jim Talent,3460
29011,Senate,None,Democratic,Claire McCaskill,1235
29011,Senate,None,Libertarian,Frank Gilmour,146
29011,Senate,None,Progressive Party of Missouri,Lydia Lewis,53
29011,Senate,None,Write-in/Scattering,Don Barrett,0
29011,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29011,House,4,Republican,James Noland,2627
29011,House,4,Democratic,Ike Skelton,2022
29011,House,4,Libertarian,Bryce A. Holthouse,105
29011,House,4,Progressive Party of Missouri,Melinda Ivey,60
29011,House,4,Write-in/Scattering,Jerry L. Palmer,0
29013,Senate,None,Republican,Jim Talent,3374
29013,Senate,None,Democratic,Claire McCaskill,3326
29013,Senate,None,Libertarian,Frank Gilmour,247
29013,Senate,None,Progressive Party of Missouri,Lydia Lewis,88
29013,Senate,None,Write-in/Scattering,Don Barrett,0
29013,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29013,House,4,Republican,James Noland,1725
29013,House,4,Democratic,Ike Skelton,5088
29013,House,4,Libertarian,Bryce Holthouse,125
29013,House,4,Progressive Party of Missouri,Melinda Ivey,58
29013,House,4,Write-in/Scattering,Jerry Palmer,0
29015,Senate,None,Republican,Jim Talent,3637
29015,Senate,None,Democratic,Claire McCaskill,3457
29015,Senate,None,Libertarian,Frank Gilmour,358
29015,Senate,None,Progressive Party of Missouri,Lydia Lewis,129
29015,Senate,None,Write-in/Scattering,Don Barrett,0
29015,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29015,House,4,Republican,Jim Noland,1937
29015,House,4,Democratic,Ike Skelton,5374
29015,House,4,Libertarian,Bryce Holthouse,171
29015,House,4,Progressive Party of Missouri,Melinda Ivey,90
29015,House,4,Write-in/Scattering,Jerry Palmer,0
29017,Senate,None,Republican,Jim Talent,2961
29017,Senate,None,Democratic,Claire McCaskill,1718
29017,Senate,None,Libertarian,Frank Gilmour,138
29017,Senate,None,Progressive Party of Missouri,Lydia Lewis,54
29017,Senate,None,Write-in/Scattering,Don Barrett,0
29017,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29017,House,8,Republican,Jo Ann Emerson,3765
29017,House,8,Democratic,Veronica Hambacker,1119
29017,House,8,Libertarian,Branden C. McCullough,88
29019,Senate,None,Republican,Jim Talent,25369
29019,Senate,None,Democratic,Claire McCaskill,30306
29019,Senate,None,Libertarian,Frank Gilmour,1341
29019,Senate,None,Progressive Party of Missouri,Lydia Lewis,649
29019,Senate,None,Write-in/Scattering,Don Barrett,1
29019,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29019,House,9,Republican,Kenny Hulshof,32591
29019,House,9,Democratic,Duane Burghard,23046
29019,House,9,Libertarian,Steven Hedrick,899
29019,House,9,Progressive Party of Missouri,Bill Hastings,668
29021,Senate,12579,Republican,Jim Talent,None
29021,Senate,None,Republican,Claire McCaskill,15734
29021,Senate,None,Libertarian,Frank Gilmour,746
29021,Senate,None,Libertarian,Lydia Lewis,338
29021,Senate,None,Write-in/Scattering,Don Barrett,0
29021,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29021,House,6,Republican,Sam Graves,17252
29021,House,6,Democratic,Sara Jo Shettles,11076
29021,House,6,Libertarian,Erik Buck,578
29021,House,6,Progressive Party of Missouri,Shirley Yurkonis,320
29023,Senate,None,Republican,Jim Talent,7692
29023,Senate,None,Democratic,Claire McCaskill,4521
29023,Senate,None,Libertarian,Frank Gilmour,307
29023,Senate,None,Progressive Party of Missouri,Lydia Lewis,112
29023,Senate,None,Write-in/Scattering,Don Barrett,0
29023,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29023,House,8,Republican,Jo Ann Emerson,9957
29023,House,8,Democratic,Veronica Hambacker,2514
29023,House,8,Democratic,Branden McCullough,201
29025,Senate,None,Republican,Jim Talent,1802
29025,Senate,None,Republican,Claire McCaskill,1740
29025,Senate,None,Libertarian,Frank Gilmour,169
29025,Senate,None,Progressive Party of Missouri,Lydia Lewis,42
29025,Senate,None,Write-in/Scattering,Don Barrett,0
29025,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29025,House,6,Republican,Sam Graves,2430
29025,House,6,Democratic,Sara Jo Shettles,1147
29025,House,6,Libertarian,Erik Buck,93
29025,House,6,Progressive Party of Missouri,Shirley Yurkonis,37
29027,Senate,None,Republican,Jim Talent,7683
29027,Senate,None,Democratic,Claire McCaskill,6081
29027,Senate,None,Libertarian,Frank Gilmour,517
29027,Senate,None,Progressive Party of Missouri,Lydia Lewis,185
29027,Senate,None,Write-in/Scattering,Don Barrett,0
29027,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29027,House,9,Republican,Kenny Hulshof,9642
29027,House,9,Democratic,Duane Burghard,4450
29027,House,9,Libertarian,Steven Hedrick,244
29027,House,9,Progressive Party of Missouri,Bill Hastings,97
29029,Senate,None,Republican,Jim Talent,9095
29029,Senate,None,Democratic,Claire McCaskill,6448
29029,Senate,None,Libertarian,Frank Gilmour,508
29029,Senate,None,Progressive Party of Missouri,Lydia Lewis,226
29029,Senate,None,Write-in/Scattering,Don Barrett,62
29029,Senate,None,Write-in/Scattering,Arthur W. Shortland,13
29029,House,4,Republican,Jim Nolan,6081
29029,House,4,Democratic,Ike Skelton,8567
29029,House,4,Libertarian,Bryce Holthouse,362
29029,House,4,Progressive Party of Missouri,Melinda Ivey,199
29029,House,4,Write-in/Scattering,Jerry Palmer,27
29031,Senate,None,Republican,Jim Talent,18070
29031,Senate,None,Democratic,Claire McCaskill,9220
29031,Senate,None,Libertarian,Frank Gilmour,591
29031,Senate,None,Progressive Party of Missouri,Lydia Lewis,196
29031,Senate,None,Write-in/Scattering,Don Barrett,0
29031,Senate,None,Write-in/Scattering,Arthur W. Shortland,0
29031,House,8,Republican,Jo Ann Emerson,21610
29031,House,8,Democratic,Veronica Hambacker,5774
29031,House,8,Libertarian,Branden McCullough,653
40095,House,4,Democratic,Spake,1371
40095,House,4,Republican,Cole,2055
40097,House,2,Democratic,Boren,7716
40097,House,2,Republican,Miller,3279
40099,House,4,Democratic,Spake,1508
40099,House,4,Republican,Cole,2225
40101,House,2,Democratic,Boren,12791
40101,House,2,Republican,Miller,3895
40103,House,3,Democratic,Barton,1052
40103,House,3,Republican,Lucas,2534
48397,House,4,Libertarian,Kurt G. Helm,294
48397,Senate,None,Republican,Kay Bailey Hutchison,12054
48397,Senate,None,Democratic,Barbara Ann Radnofsky,3159
48397,Senate,None,Libertarian,Scott Lanier Jameson,267
48399,House,11,Republican,Mike Conaway,1685
48399,Senate,None,Republican,Kay Bailey Hutchison,1839
48399,Senate,None,Democratic,Barbara Ann Radnofsky,475
48399,Senate,None,Libertarian,Scott Lanier Jameson,51
48401,House,1,Republican,Louie Gohmert,8154
48401,House,1,Democratic,Roger L. Owen,3100
48401,House,1,Libertarian,Donald Perkison,220
48401,Senate,None,Republican,Kay Bailey Hutchison,8281
48401,Senate,None,Democratic,Barbara Ann Radnofsky,2980
48401,Senate,None,Libertarian,Scott Lanier Jameson,222
48403,House,1,Republican,Louie Gohmert,1765
48403,House,1,Democratic,Roger L. Owen,1134
48403,House,1,Libertarian,Donald Perkison,43
48403,Senate,None,Republican,Kay Bailey Hutchison,1942
48403,Senate,None,Democratic,Barbara Ann Radnofsky,1006
48403,Senate,None,Libertarian,Scott Lanier Jameson,54
48405,House,1,Republican,Louie Gohmert,1191
48405,House,1,Democratic,Roger L. Owen,1086
48405,House,1,Libertarian,Donald Perkison,46
48405,Senate,None,Republican,Kay Bailey Hutchison,1361
48405,Senate,None,Democratic,Barbara Ann Radnofsky,994
48405,Senate,None,Libertarian,Scott Lanier Jameson,41
48407,House,8,Republican,Kevin  Brady,3548
48407,House,8,Democratic,James 'Jim' Wright,2748
48407,Senate,None,Republican,Kay Bailey Hutchison,4006
48407,Senate,None,Democratic,Barbara Ann Radnofsky,2254
48407,Senate,None,Libertarian,Scott Lanier Jameson,163
48409,House,27,Republican,Wm. 'Willie'  Vaden,4282
48409,House,27,Democratic,Solomon P. Ortiz,2618
48409,House,27,Libertarian,Robert Powell,343
48409,Senate,None,Republican,Kay Bailey Hutchison,7488
48409,Senate,None,Democratic,Barbara Ann Radnofsky,4920
48409,Senate,None,Libertarian,Scott Lanier Jameson,227
48409,House,15,Republican,Paul B. Haring,1181
48409,House,15,Democratic,Ruben Hinojosa,3469
48409,House,15,Republican,Eddie Zamora,254
48411,House,11,Republican,Mike Conaway,1084
48411,Senate,None,Republican,Kay Bailey Hutchison,1139
48411,Senate,None,Democratic,Barbara Ann Radnofsky,332
48411,Senate,None,Libertarian,Scott Lanier Jameson,33
48413,House,11,Republican,Mike Conaway,503
