id,state,county,place,q022004a,q022004a_nnn,q022004i,q022004i_nnn,q022004total,q022006a,q022006a_nnn,q022006i,q022006i_nnn,q022006total,q02comment,q03_nnn,q03comment,q03total,q04_nnn,q04comment,q04total,q05_nnn,q05comment,q05total,q06_nnn,q06comment,q06total,q07a,q07a_nnn,q07b,q07b_nnn,q07c,q07c_nnn,q07comment,q07d,q07d_nnn,q07e,q07e_nnn,q07total,q08a,q08a_nnn,q08b,q08b_nnn,q08c,q08c_nnn,q08comment,q08total,q09_nnn,q09comment,q09total,q25_nnn,q25comment,q25total,q26_nnn,q26comment,q26total,q27_nnn,q27comment,q27total,q28_nnn,q28comment,q28total,q29a,q29a_nnn,q29b,q29b_nnn,q29c,q29c_nnn,q29comment,q29d,q29d_nnn,q29e,q29e_nnn,q29f,q29f_nnn,q29fother,q29total
05115,Arkansas,Pope County,,28978,,6578,,35556,27455,,3173,,30628,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3508,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",570,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1479,1027,,20,,5,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3,,394,,1449,0,,3196,,24,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",3220,,,1555,,,548,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,232,,217,,52,,,0,,1,,39,,Duplicate Registration,541
05117,Arkansas,Prairie County,,4955,,13,,4968,4749,,25,,4774,,,,None,,,328,,,53,,,218,43,,9,,1,,,0,,3,,56,0,,236,,0,,,236,,,158,,,74,Don't know,,None,Don't know,,None,Don't know,,None,15,,40,,2,,,0,,7,,9,,"Conversion Issue, Duplicate Registration",73
05119,Arkansas,Pulaski County,,187521,,75331,,262852,181009,,78067,,259076,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",124522,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",16603,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",89242,14625,,434,,33,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",18,,3351,,18461,24,,121813,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",121837,,,10178,,,5796,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,631,,2540,,440,,,3,,12,,2159,,"Conversion Issue, Duplicate Registration",5785
05121,Arkansas,Randolph County,,8765,,1774,,10539,8877,,1505,,10382,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",10864,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",553,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",8321,1583,,340,,6,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",10,,29,,1968,0,,10436,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",10436,,,861,,,175,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,25,,77,,30,,,0,,2,,40,,Duplicate Registration,174
05123,Arkansas,St. Francis County,,15412,,3568,,18980,16236,,2904,,19140,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1961,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",330,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1293,31,,24,,4,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",5,,264,,328,0,,1181,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",1181,,,1059,,,444,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,21,,330,,85,,,0,,1,,7,,"Conversion Issue, Duplicate Registration",444
05125,Arkansas,Saline County,,51315,,6153,,57468,50572,,7695,,58267,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",17332,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2586,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",11181,3062,,247,,14,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",14,,220,,3557,0,,16026,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",16026,,,3507,,,924,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",7202,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",1021,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",6181,75,,531,,102,,,0,,3,,211,,Duplicate Registration,922
05127,Arkansas,Scott County,,5614,,211,,5825,5974,,166,,6140,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2420,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",44,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",2169,169,,9,,2,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3,,18,,201,0,,911,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",911,,,None,,,149,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,14,,86,,9,,,0,,0,,40,,Duplicate Registration,149
05129,Arkansas,Searcy County,,6725,,125,,6850,6675,,1,,6676,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",5253,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",103,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4921,166,,52,,7,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,4,,229,0,,5061,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",5061,,,338,,,355,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",300,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",57,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,174,,162,,1,,,0,,2,,16,Check if your office does not collect this data,Duplicate Registration,355
05131,Arkansas,Sebastian County,,64203,,65,,64268,56906,,5266,,62172,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",12977,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1078,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",6485,5221,,5,,25,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1,,160,,5412,0,,10671,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",10671,,,3716,,,6385,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,107,,596,,34,,,5534,,9,,103,,Duplicate Registration,6383
05133,Arkansas,Sevier County,,6331,,523,,6854,6044,,569,,6613,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",665,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",143,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",390,9,,59,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,63,,131,0,,485,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",485,,,309,,,156,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,64,,63,,4,,,0,,0,,24,,Duplicate Registration,155
05135,Arkansas,Sharp County,,11059,,258,,11317,10424,,241,,10665,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",8848,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",461,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",7723,292,,90,,5,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,271,,658,0,,8429,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",8429,,,653,,,163,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,37,,78,,5,,,0,,0,,43,,Duplicate Registration,163
05137,Arkansas,Stone County,,6917,,1934,,8851,7266,,414,,7680,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",877,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",88,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",724,42,,15,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1,,7,,65,0,,500,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",500,,,428,,,104,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,18,,66,,7,,,1,,9,,3,,Duplicate Registration,104
05139,Arkansas,Union County,,28016,,2634,,30650,27600,,2318,,29918,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1888,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",173,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1229,293,,27,,2,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4,,156,,482,0,,994,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",994,,,1201,,,659,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,26,,434,,47,,,0,,1,,150,,"Duplicate registration, Mental Incomp. Judgement",658
05141,Arkansas,Van Buren County,,12740,,95,,12835,9588,,472,,10060,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",6515,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",418,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4940,1054,,71,,1,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,17,,1143,0,,5787,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",5787,,,1095,,,403,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,146,,179,,24,,,1,,1,,46,,"Conversion Issue, Duplicate Registration",397
05143,Arkansas,Washington County,,78164,,9954,,88118,79262,,8172,,87434,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",14697,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3160,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3739,6072,,80,,33,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,1572,,7757,0,,10633,,33,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",10666,,,7002,,,1145,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",8880,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",5045,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",3835,169,,289,,117,,,0,,12,,557,,"Conversion Issue, Duplicate Registration",1144
05145,Arkansas,White County,,39882,,2348,,42230,41740,,1627,,43367,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3532,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",188,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1475,1742,,30,,11,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,63,,1846,0,,2236,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",2236,,,2097,,,718,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",3960,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",400,,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",1804,75,,415,,55,,,2,,9,,161,,"Conversion Issue, Duplicate Registration, Mental Incomp. Judgement",717
05147,Arkansas,Woodruff County,,4709,,182,,4891,4701,,132,,4833,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",463,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",88,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",264,84,,5,,0,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",1,,21,,111,0,,329,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",329,,,268,,,140,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,8,,58,,15,,,0,,2,,57,,Duplicate Registration,140
05149,Arkansas,Yell County,,9484,,506,,9990,8502,,1295,,9797,,,,None,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",4673,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",370,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",3681,406,,54,,13,,"Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications received'
",0,,124,,597,0,,4442,,0,,"8A and 8C are both low numbers because Not all counties utalize software to track applications that are received, but rejected; therefore the applications that were processed in the software do not accurately reflect the 'total number of applications rece
",4442,,,584,,,208,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,Don't know,"NVRA history for confirmation mailings and responses did not properly transfer in the Arkansas software conversion.  Counties using electronic recordation in previous software did not do so in a standardized format.  Counties which did not use an electron
",None,8,,95,,23,,,0,,0,,81,,Duplicate Registration,207
06000,California,,,None,,None,,0,None,,None,,0,,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,0,None,,None,,None,,,0,,,None,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,None,,,0
06001,California,Alameda County,,None,,None,,0,None,,None,,0,,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,0,None,,None,,None,,,0,,,None,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,None,,,0
06003,California,Alpine County,,827,,21,,848,775,,66,,841,,Check if your office does not collect this data,,None,,,166,,,71,,,17,47,,3,,2,,,0,,27,,79,3,,35,,0,,,38,,,166,,,111,,,31,,,31,,,80,31,,6,,None,,,None,,8,,68,,,113
06005,California,Amador County,,None,,None,,0,None,,None,,0,,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,0,None,,None,,None,,,0,,,None,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,None,,,0
06007,California,Butte County,,123318,,22794,,146112,115659,,19808,,135467,,Check if your office does not collect this data,,None,,,24923,,,20583,,,4340,4103,,643,,589,,,None,,None,,5335,1118,,8387,,689,,,10194,,,20165,,,14123,,,31396,,,8323,,,29121,3361,,3019,,477,,,5520,,41,,44,,,12462
06009,California,Calaveras County,,27332,,2763,,30095,27048,,3620,,30668,,Check if your office does not collect this data,,None,,,4460,,,2404,,,902,1040,,114,,None,,,None,,None,,1154,40,,243,,108,,,391,,,2858,,,2338,,,2351,,,921,Check if your office does not collect this data,,None,2128,,455,,16,,,None,,30,,None,Check if your office does not collect this data,,2629
06011,California,Colusa County,,None,,None,,0,None,,None,,0,,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,0,None,,None,,None,,,0,,,None,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,None,,,0
06013,California,Contra Costa County,,504505,,None,Check if your office does not collect this data,504505,486441,,None,Check if your office does not collect this data,486441,,,,None,,,21888,,,8686,,,2361,1806,,125,,None,,#7d. Armed Forces - 'don't collect',None,,None,,1931,None,Check if your office does not collect this data,None,Check if your office does not collect this data,None,Check if your office does not collect this data,,0,,,15270,,,25305,Check if your office does not collect this data,,None,,,None,Don't know,,None,57530,,33408,,26877,,,79831,,25256,,None,,,222902
06015,California,Del Norte County,,12834,,None,Don't know,12834,12040,,1249,,13289,,Check if your office does not collect this data,,None,,,4009,,,1024,,,620,496,,17,,None,Check if your office does not collect this data,,None,Check if your office does not collect this data,None,Check if your office does not collect this data,513,10,,972,,None,Check if your office does not collect this data,,982,,,1279,,,1492,,,500,,,297,,,202,None,Don't know,240,,None,,,None,Check if your office does not collect this data,5,,None,,,245
06017,California,El Dorado County,,105687,,37128,,142815,101036,,44474,,145510,,Check if your office does not collect this data,,None,,,33065,,,16248,,,16579,9092,,130,,None,,,11,,4,,9237,313,,2356,,153,,,2822,,,25182,,,None,,,11560,,"Error message  Value must be <= the value of <Field q26total(integer:rw)>

Real number 13084",11560,,,11473,3392,,1597,,296,,,None,,2289,,4409,,,11983
06019,California,Fresno County,,352197,,187746,,539943,331968,,151631,,483599,,Check if your office does not collect this data,,None,,,63829,,"Error message 'Value must be <= the value of <Field q04total(integer:rw)>'

Real Number is 76937",63829,,,3359,10112,,3418,,203,,,None,,823,,14556,None,,None,,None,Check if your office does not collect this data,,0,,"Error message 'Value must be <= the value of <Field q04total(integer:rw)>'

Real Number  69110",63829,,,74257,,,76723,,,21766,,,36115,None,Don't know,None,Don't know,None,Don't know,,None,Don't know,None,Don't know,None,Don't know,,0
06021,California,Glenn County,,11953,,6303,,18256,11861,,7694,,19555,,,,None,,,3711,,,2826,,,885,826,,174,,5,,,8,,None,,1013,108,,824,,17,,,949,,,2762,,,2225,,,2451,,,1404,,,864,600,,297,,25,,,1295,,8,,None,,,2225
06023,California,Humboldt County,,84924,,32052,,116976,77903,,21489,,99392,,,N/A,None,,,16929,,,12915,,,4015,1498,,602,,4,,,None,,4036,,6140,734,,4998,,360,,,6092,Check if your office does not collect this data,,None,,,497,,,16845,,,9770,,,15025,6819,,1725,,124,,,153,,72,,5060,,undel.,13953
